Seniority,Member,Party & State,Start of Service
,Doris Matsui,"(D), CA",03-08-2005
,Gregorio Sablan (delegate),"(D), MP",01-06-2009
,Judy Chu,"(D), CA",07-16-2009
,Ami Bera,"(D), CA",01-03-2013
,Tulsi Gabbard,"(D), HI",01-03-2013
,Grace Meng,"(D), NY",01-03-2013
,Mark Takano,"(D), CA",01-03-2013
,Ted Lieu,"(D), CA",01-06-2015
,Aumua Amata Radewagen (delegate),"(R), AS",01-06-2015
,Colleen Hanabusa *,"(D), HI",tbd
,Pramila Jayapal,"(D), WA",01-03-2016
,Ro Khanna,"(D), CA",01-03-2016
,Raja Krishnamoorthi,"(D), IL",01-03-2016
,Stephanie Murphy,"(D), FL",01-03-2016
"Total Asian Americans: 14
Democrats: 13
Republicans: 1",,,
