Seniority,Member,Party & State,Start of Service
,Jose Serrano,"(D), NY",03-20-1990
,Lucille Roybal-Allard,"(D), CA",01-03-1993
,Nydia Velazquez,"(D), NY",01-03-1993
,Grace Napolitano,"(D), CA",01-03-1999
,Mario Diaz-Balart,"(R), FL",01-03-2003
,Raul Grijalva,"(D), AZ",01-03-2003
,Devin Nunes,"(R), CA",01-03-2003
,Linda Sanchez,"(D), CA",01-03-2003
,Jim Costa,"(D), CA",01-03-2005
,Henry Cuellar,"(D), TX",01-03-2005
,Albio Sires,"(D), NJ",11-13-2006
,Ben Ray Lujan,"(D), NM",01-06-2009
,Gregorio Sablan (delegate),"(D), MP",01-06-2009
,John Garamendi,"(D), CA",11-05-2009
,Bill Flores,"(R), TX",01-05-2011
,Jaime Herrera-Beutler,"(R), WA",01-05-2011
,Tony Cardenas,"(D), CA",01-03-2013
,Joaquin Castro,"(D), TX",01-03-2013
,Raul Ruiz,"(D), CA",01-03-2013
,Juan Vargas,"(D), CA",01-03-2013
,Filemon Vela,"(D), TX",01-03-2013
,Pete Aguilar,"(D), CA",01-06-2015
,Ruben Gallego,"(D), AZ",01-06-2015
,Alex Mooney,"(R), WV",01-06-2015
,Norma Torres,"(D), CA",01-06-2015
,Nannette Barragan,"(D), CA",01-03-2016
,Salud Carbajal,"(D), CA",01-03-2016
,Lou Correa,"(D), CA",01-03-2016
,Adriano Espaillat,"(D), NY",01-03-2016
,Jenniffer Gonzalez (delegate),"(R), PR",01-03-2016
,Vincente Gonzalez,"(D), TX",01-03-2016
,Brian Mast,"(R), FL",01-03-2016
,Darren Soto,"(D), FL",01-03-2016
,Jesus “Chuy” Garcia,"(D), IL",01-03-2019
,Xochitl Torres Small,"(D), NM",01-03-2019
,Veronica Escobar,"(D), TX",01-03-2019
,Sylvia Garcia,"(D), TX",01-03-2019
,Mike Levin,"(D), CA",01-03-2019
,Debbie Mucarsel-Powell,"(D), FL",01-03-2019
,Alexandria Ocasio-Cortez,"(D), NY",01-03-2019
,Jimmy Gomez,"(D), CA",01-03-2019
,Gil Cisneros,"(D), CA",01-03-2019
"Total Hispanics: 42
Democrats:35
Republicans: 7",,,
